genre,rate,metascore,votes,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_nominated,Screen_Actors_Guild_nominated,Critics_Choice_nominated,Directors_Guild_nominated,Producers_Guild_nominated,Art_Directors_Guild_nominated,Writers_Guild_nominated,Costume_Designers_Guild_nominated,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_nominated,People_Choice_nominated,London_Critics_Circle_Film_nominated
Comedy|Fantasy|Romance,6.4000001,44,66660,318,125,2363,4,1,2,0,0,1,0,0,0,0,0,1,0,0,0
Animation|Adventure|Comedy,7,88,144475,361,186,2859,11,0,1,2,0,1,0,0,0,0,0,2,1,0,2
Action|Adventure|Family,5.69999981,40,273203,1008,278,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Drama|Romance,7.4000001,61,63852,272,126,2508,12,6,2,4,2,2,0,0,0,0,1,1,0,0,0
Adventure|Drama|Fantasy,8.80000019,92,1286275,5078,296,204,67,13,4,14,2,5,1,1,1,1,0,22,8,3,0
Action|Adventure|Thriller,6.0999999,59,249988,1431,234,2153,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Action|Horror|Sci-Fi,6.69999981,33,204545,1145,225,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Adventure|Sci-Fi,7.4000001,64,468351,1406,289,655,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Animation|Adventure|Comedy,7.30000019,70,133781,298,141,1332,7,1,1,0,0,2,0,0,0,0,0,4,0,0,0
Animation|Drama|Family,7.4000001,83,197604,477,266,2022,5,1,0,0,0,1,0,1,0,0,0,1,1,0,0
Action|Adventure|Fantasy,6.69999981,54,485730,3531,291,544,6,1,0,0,0,1,0,0,0,0,0,3,2,0,0
Action|Adventure|Fantasy,7.5999999,68,543318,3303,356,387,7,1,0,0,0,0,0,0,0,0,1,4,0,2,0
Animation|Adventure|Comedy,7.9000001,84,483447,950,212,1064,22,2,1,7,0,2,0,1,0,0,0,4,3,1,0
Action|Adventure|Sci-Fi,5.69999981,50,181213,1369,230,1144,5,0,0,2,0,0,0,0,0,0,1,2,0,0,0
Animation|Adventure|Family,7.0999999,60,74746,219,127,2568,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Horror|Sci-Fi,7.0999999,49,197982,808,211,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama|Thriller,7.69999981,69,316040,638,109,930,7,2,1,0,2,0,0,0,0,0,0,0,1,0,0
Action|War,6.5999999,62,66965,608,178,3236,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama,7.5999999,64,371133,1071,284,515,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Action|Adventure,7.30000019,73,561251,2017,291,437,6,2,0,1,0,1,0,0,0,0,0,2,1,1,0
Action|Adventure|Fantasy,5.69999981,33,161278,827,198,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Music,7.5,79,146486,604,175,2450,7,0,1,1,0,0,0,0,0,1,1,1,1,0,0
Comedy|Family|Romance,3.5999999,27,16035,86,57,2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure|Drama|History,7.19999981,73,120878,678,196,779,35,7,8,13,1,4,0,1,0,1,0,1,1,0,4
Action|Adventure|Comedy,5.5,52,148354,643,179,2293,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Biography|Drama,7.69999981,72,10887,84,73,736,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Adventure|Drama|Romance,7.69999981,73,409544,1060,222,690,15,2,1,1,1,2,0,0,0,0,0,6,1,0,0
Comedy|Drama,7.4000001,88,98471,489,123,2232,21,1,2,0,0,0,0,0,0,1,0,4,7,0,0
Action|Adventure|Sci-Fi,5.9000001,42,227486,1247,197,2041,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adventure|Drama|Romance,6.5999999,43,182324,553,118,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Horror|Sci-Fi,5.69999981,24,104404,630,177,2149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Drama|Thriller,6.4000001,45,88382,568,176,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama|Thriller,6.30000019,42,60579,318,133,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
